Label,Resin,ResinAmount,Solvent,SolventAmount,dD,dP,dH,Initiator,Result,ResultRevised,LabId,PrepTaskId,PrepByThread,PrepStart,PrepEnd,PrepProtocolId,ImageTaskId,ImageByThread,ImageStart,ImageEnd,ImageProtocolId
R9:S4:S14-r5.00:s1.50:s3.50,R9,5.0,S4:S14,1.50:3.50,16.92,9.32,8.09,explore+,Y,0,id:1ZA60vzwAoDa,prep:ef7c5b43bd8761d67a4a54cde51adad0,thread3,2024-10-15T18:25:55.603786-04:00,2024-10-18T23:42:16-04:00,id:xRO9n3EvekxO,image:8c6ec50f86e0a4c1d61db0793f390420,thread3,2024-10-20T00:09:44.124242-04:00,2024-10-20T01:32:30.998928-04:00,id:9RdZXvNKZ5e6
R9:S8:S21-r5.00:s1.00:s4.00,R9,5.0,S8:S21,1.00:4.00,16.44,4.9,10.06,explore+,Y,0,id:eGaklde0aEVq,prep:ef7c5b43bd8761d67a4a54cde51adad0,thread3,2024-10-15T18:25:55.603786-04:00,2024-10-18T23:42:16-04:00,id:xRO9n3EvekxO,image:8c6ec50f86e0a4c1d61db0793f390420,thread3,2024-10-20T00:09:44.124242-04:00,2024-10-20T01:32:30.998928-04:00,id:9RdZXvNKZ5e6
R9:S13:S14-r5.00:s3.00:s2.00,R9,5.0,S13:S14,3.00:2.00,16.32,2.24,4.04,explore+,Y,0,id:dORYzZdnRx4w,prep:ef7c5b43bd8761d67a4a54cde51adad0,thread3,2024-10-15T18:25:55.603786-04:00,2024-10-18T23:42:16-04:00,id:xRO9n3EvekxO,image:8c6ec50f86e0a4c1d61db0793f390420,thread3,2024-10-20T00:09:44.124242-04:00,2024-10-20T01:32:30.998928-04:00,id:9RdZXvNKZ5e6
R9:S1:S11-r5.00:s1.00:s4.00,R9,5.0,S1:S11,1.00:4.00,15.84,8.84,16.54,explore+,Y,0,id:4pO6dMmWO0JM,prep:ef7c5b43bd8761d67a4a54cde51adad0,thread3,2024-10-15T18:25:55.603786-04:00,2024-10-18T23:42:16-04:00,id:xRO9n3EvekxO,image:8c6ec50f86e0a4c1d61db0793f390420,thread3,2024-10-20T00:09:44.124242-04:00,2024-10-20T01:32:30.998928-04:00,id:9RdZXvNKZ5e6
R9:S25-r5.00:s5.00,R9,5.0,S25,5.00,15.5,16.0,42.3,required,N,0,id:D8KAEvDdK93Y,prep:7055d0453c1b619b1614f474132a9de9,thread3,2024-11-06T02:52:32.612520-05:00,2024-11-07T08:17:47-05:00,id:dORYzZdRLVMe,image:80dc8adcdcd30b98f658ed23f4762884,thread3,2024-11-09T21:27:15.773156-05:00,2024-11-09T22:04:29.485586-05:00,id:eGakldea6ejo
R9:S23-r5.00:s5.00,R9,5.0,S23,5.00,17.4,11.3,27.2,required,N,0,id:P5ZnEjx4Z91l,prep:7055d0453c1b619b1614f474132a9de9,thread3,2024-11-06T02:52:32.612520-05:00,2024-11-07T08:17:47-05:00,id:dORYzZdRLVMe,image:80dc8adcdcd30b98f658ed23f4762884,thread3,2024-11-09T21:27:15.773156-05:00,2024-11-09T22:04:29.485586-05:00,id:eGakldea6ejo
R9:S18-r5.00:s5.00,R9,5.0,S18,5.00,18.0,16.6,7.4,explore+,Y,0,id:kEJ9mq8aJLrV,prep:7055d0453c1b619b1614f474132a9de9,thread3,2024-11-06T02:52:32.612520-05:00,2024-11-07T08:17:47-05:00,id:dORYzZdRLVMe,image:80dc8adcdcd30b98f658ed23f4762884,thread3,2024-11-09T21:27:15.773156-05:00,2024-11-09T22:04:29.485586-05:00,id:eGakldea6ejo
R9:S4:S8-r5.00:s2.50:s2.50,R9,5.0,S4:S8,2.50:2.50,18.7,11.05,8.8,exploit,N,1,id:aXRlGn0ZRvz9,prep:7055d0453c1b619b1614f474132a9de9,thread3,2024-11-06T02:52:32.612520-05:00,2024-11-07T08:17:47-05:00,id:dORYzZdRLVMe,image:80dc8adcdcd30b98f658ed23f4762884,thread3,2024-11-09T21:27:15.773156-05:00,2024-11-09T22:04:29.485586-05:00,id:eGakldea6ejo
R9:S7:S23-r5.00:s2.00:s3.00,R9,5.0,S7:S23,2.00:3.00,16.76,10.06,20.64,exploit,N,0,id:3em6Zvr9mnVz,prep:7055d0453c1b619b1614f474132a9de9,thread3,2024-11-06T02:52:32.612520-05:00,2024-11-07T08:17:47-05:00,id:dORYzZdRLVMe,image:80dc8adcdcd30b98f658ed23f4762884,thread3,2024-11-09T21:27:15.773156-05:00,2024-11-09T22:04:29.485586-05:00,id:eGakldea6ejo
R9:S11:S25-r5.00:s1.50:s3.50,R9,5.0,S11:S25,1.50:3.50,15.59,13.84,35.43,exploit,N,0,id:wqW9BPz4Wn1R,prep:7055d0453c1b619b1614f474132a9de9,thread3,2024-11-06T02:52:32.612520-05:00,2024-11-07T08:17:47-05:00,id:dORYzZdRLVMe,image:80dc8adcdcd30b98f658ed23f4762884,thread3,2024-11-09T21:27:15.773156-05:00,2024-11-09T22:04:29.485586-05:00,id:eGakldea6ejo
