Filename,Sample,MD5,Result,ResultRevised,HumanResult,CvResult,NInterfaces,NDetected,NCorrect,NMissing,NMissingLabel,NMissingBg,NMissingWeakSignal,NIncorrect,NIncorrectLabel,NIncorrectBg,NIncorrectDuplicate
R10S16-r5.00s5.00,R10:S16-r5.00:s5.00,507d3bde611e0eead81b06fc1b39bf2b,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R10S18-r5.00s5.00,R10:S18-r5.00:s5.00,0fd96870666609c2c964f8f2904606ae,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R10S22-r5.00s5.00,R10:S22-r5.00:s5.00,a048c5bce2275bc0d13fff814f78d51d,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R10S23-r5.00s5.00,R10:S23-r5.00:s5.00,d7ca44ec852946e535e7e08120c3fbda,N,False,False,False,2,2,2,0,0,0,0,0,0,0,0
R10S25-r5.00s5.00,R10:S25-r5.00:s5.00,78eba58b059539f28cd6a25afcc82db4,N,False,False,False,2,2,2,0,0,0,0,0,0,0,0
R11S1S15-r5.00s0.50s4.50,R11:S1:S15-r5.00:s0.50:s4.50,819625c7688e3e3c4a7cdc7c5aa4b53b,N,False,False,False,2,2,2,0,0,0,0,0,0,0,0
R11S1S22-r5.00s3.50s1.50,R11:S1:S22-r5.00:s3.50:s1.50,685777d07b56e8c0f2f3095ac7f177ab,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R11S4S5-r5.00s3.50s1.50,R11:S4:S5-r5.00:s3.50:s1.50,7619f17b53238b4832bfb4bb948ef4b9,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R11S4S6-r5.00s2.50s2.50,R11:S4:S6-r5.00:s2.50:s2.50,3d77e74ca4c209805babbe16ac2e1156,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R11S6S25-r5.00s1.50s3.50,R11:S6:S25-r5.00:s1.50:s3.50,2ca4befee415784516d8a9ce0c229d98,N,False,False,False,2,2,2,0,0,0,0,0,0,0,0
R11S9S11-r5.00s1.50s3.50,R11:S9:S11-r5.00:s1.50:s3.50,06259d3f184fd053da673f3f2a7b8194,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R11S10S5-r5.00s1.50s3.50,R11:S10:S5-r5.00:s1.50:s3.50,7c9595b7a502a3bf424567482fdccee8,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R11S10S12-r5.00s2.00s3.00,R11:S10:S12-r5.00:s2.00:s3.00,f464db2842e032a1405b04ac89d2e64f,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R11S10S12-r5.00s4.00s1.00,R11:S10:S12-r5.00:s4.00:s1.00,c34b6d82d2766bbf18317722b54981f0,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R11S10S22-r5.00s3.00s2.00,R11:S10:S22-r5.00:s3.00:s2.00,2ed0cb08bff9e5bc620bcb34750c7007,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R11S11-r5.00s5.00,R11:S11-r5.00:s5.00,9ce269a2cad307ca8b4700b51dfd32c9,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R11S11S23-r5.00s2.50s2.50,R11:S11:S23-r5.00:s2.50:s2.50,7d9c2f1155ec3816a7f98154ccc83239,N,False,False,False,2,2,1,1,0,0,1,1,0,0,1
R11S11S25-r5.00s2.50s2.50,R11:S11:S25-r5.00:s2.50:s2.50,f4941c5c96f454fe3251429120e8026b,N,False,False,False,2,2,2,0,0,0,0,0,0,0,0
R11S12S14-r5.00s3.00s2.00,R11:S12:S14-r5.00:s3.00:s2.00,8df2ebba72af9fe38f51d5933fc27a0c,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R11S13-r5.00s5.00,R11:S13-r5.00:s5.00,b456335fcef1e43b728d9a0a1b21633a,N,False,False,False,2,2,2,0,0,0,0,0,0,0,0
R11S13S14-r5.00s1.50s3.50,R11:S13:S14-r5.00:s1.50:s3.50,227f289bfe1f83b2f6200df2a67ce254,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R11S13S21-r5.00s3.00s2.00,R11:S13:S21-r5.00:s3.00:s2.00,bba67ccf90ea8be173ce5cf78ce146a6,N,False,False,False,2,2,2,0,0,0,0,0,0,0,0
R11S14-r5.00s5.00,R11:S14-r5.00:s5.00,92d5a0bc783bc873c96bf36e9c65208e,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R11S17-r5.00s5.00,R11:S17-r5.00:s5.00,cc343b4c860ff06fbdab7caa0387055e,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R11S18S21-r5.00s3.50s1.50,R11:S18:S21-r5.00:s3.50:s1.50,3b97c77601807590599993964ac643c2,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R11S19-r5.00s5.00,R11:S19-r5.00:s5.00,eedc86eab6478617e84282ea299d3a1e,Y,False,True,True,1,1,1,0,0,0,0,0,0,0,0
R11S22-r5.00s5.00,R11:S22-r5.00:s5.00,41c878f790cc387be2b3de4a1bfe9e6d,N,False,False,False,2,2,2,0,0,0,0,0,0,0,0
